,item_channel,program_date,item_name,item_info,program_start_time,program_duration,program_rebroadcast,link
118,Canal+ Sport 360,Programmes  4 janvier    ,Zapsport 360,Multisports sur Canal+ Sport 360,,,,https://tv-sports.fr/texas-tech-kansas-basket-ball-ncaa-2022-2023-tv-x884802?xea=63b52d5395aea
119,France 3,Programmes  4 janvier    ,Tout le sport,Multisports sur France 3,Aujourd'hui • 18h30, 30min,Rediffusion,https://tv-sports.fr/les-films-rmc-sport-tv-x864269?xea=63b52d5395c8f
120,FC Barcelone,Programmes  4 janvier    ,Intercity / FC Barcelone 🌟,Foot • Coupe du roi sur L'Equipe,,,,https://tv-sports.fr/jared-cannonier-sean-strickland-mma-mma-ultimate-fighting-championship-2022-tv-x881405?xea=63b52d5396f45
121,ES1,Programmes  4 janvier    ,EVO Dragon Ball Fighter,e-sport sur ES1,Aujourd'hui • 04h45, 10min,Rediffusion,https://tv-sports.fr/bein-sports-le-plus-grand-des-spectacles-tv-x855533?xea=63b52d53956bf
122,Wolverhampton,Programmes  4 janvier    ,Aston Villa / Wolverhampton ✨,Foot • Premier League sur Canal + Multisports 1,,,,https://tv-sports.fr/udinese-empoli-football-serie-a-2022-2023-tv-x884794
123,Tottenham,Programmes  4 janvier    ,Crystal Palace / Tottenham ✨,Foot • Premier League sur Canal+ Sport 360,,,,https://tv-sports.fr/leeds-west-ham-football-premier-league-2022-2023-tv-x884909
124,Canal+ Sport,Programmes  4 janvier    ,PGA Tour Champions Year in Review,Golf sur Canal+ Sport,,,,https://tv-sports.fr/inter-milan-naples-football-serie-a-2022-2023-tv-x884691
125,Benfica Lisbonne,Programmes  4 janvier    ,Sporting Braga / Benfica Lisbonne,Foot • Liga NOS championnat Portugal sur RMC Sport 1,, 5min,,https://tv-sports.fr/tout-le-sport-dakar-tv-x884287
126,beIN SPORTS MAX 7,Programmes  4 janvier    ,"beIN SPORTS, le plus grand des spectacles",Multisports sur beIN SPORTS MAX 7,, 1h,,https://tv-sports.fr/ski-epreuve-de-garmisch-partenkirchen-2022-2023-tv-x884699?xea=63b52d53a0a1f
127,Canal + Top 14,Programmes  4 janvier    ,La chaîne du Top 14,Rugby sur Canal + Top 14,,,,https://tv-sports.fr/france-pays-bas-handball-tournoi-de-france-2023-tv-x884690
128,Canal+ Sport,Programmes  4 janvier    ,"Presidents Cup, film officiel 2022",Golf sur Canal+ Sport,Aujourd'hui • 13h56, 6min,Rediffusion,https://tv-sports.fr/zapsport-360-tv-x876397?xea=63b52d53a0ba2
129,Eurosport 2,Programmes  4 janvier    ,Saut à ski Tournée des 4 Tremplins 2022/2023,Saut à ski • Tournée des 4 Tremplins 2022/2023 sur Eurosport 2,, 15min,,https://tv-sports.fr/tout-le-sport-tv-x859079
130,Eurosport 1,Programmes  4 janvier    ,Présentation de la saison,Voile • The Ocean Race 2022 sur Eurosport 1,,,,https://tv-sports.fr/intercity-fc-barcelone-football-coupe-d-espagne-2022-2023-tv-x884777
131,ES1,Programmes  4 janvier    ,EVO Dragon Ball Fighter,e-sport sur ES1,Jeudi 26/01 • 02h30, 45min,Rediffusion,https://tv-sports.fr/evo-dragon-ball-fighter-tv-x880600?xea=63b52d53a287c
132,Equidia,Programmes  4 janvier    ,Ticket Gagnant,Hippisme sur Equidia,,,,https://tv-sports.fr/aston-villa-wolverhampton-football-premier-league-2022-2023-tv-x884612
133,Eurosport 1,Programmes  4 janvier    ,Ha'il - Ha'il,Rallye • Dakar sur Eurosport 1,,,,https://tv-sports.fr/crystal-palace-tottenham-football-premier-league-2022-2023-tv-x884784
134,Canal + Multisports 4,Programmes  4 janvier    ,Match à venir,Multisports sur Canal + Multisports 4,, 25min,,https://tv-sports.fr/pga-tour-champions-year-in-review-tv-x882661?xea=63b52d53a57a9
135,La Rochelle,Programmes  4 janvier    ,Ulster / La Rochelle,Rugby • Champions Cup sur beIN SPORTS 3,,,,https://tv-sports.fr/sporting-braga-benfica-lisbonne-football-championnat-du-portugal-2022-2023-tv-x883809?xea=63b52d53a54c7
136,La Rochelle,Programmes  4 janvier    ,Perpignan / La Rochelle,Rugby • TOP 14 sur Canal+ Sport,Aujourd'hui • 04h45, 10min,Rediffusion,https://tv-sports.fr/bein-sports-le-plus-grand-des-spectacles-tv-x855533?xea=63b52d53a4d81
137,Equidia,Programmes  4 janvier    ,3 minutes Quinté+,Equitation sur Equidia,Aujourd'hui • 06h00, 5h,Rediffusion,https://tv-sports.fr/la-chaine-du-top-14-tv-x740078?xea=63b52d53a5336
138,ES1,Programmes  4 janvier    ,EVO Dragon Ball Fighter,e-sport sur ES1,Vendredi 27/01 • 01h01, 53min,Rediffusion,https://tv-sports.fr/presidents-cup-film-officiel-2022-tv-x881083?xea=63b52d53a5cb8
139,Canal + Multisports 3,Programmes  4 janvier    ,Match à venir,Multisports sur Canal + Multisports 3,, 1h,,https://tv-sports.fr/saut-a-ski-tournee-des-4-tremplins-2022-2023-tv-x884504?xea=63b52d53a61d9
140,beIN SPORTS 2,Programmes  4 janvier    ,Bleu Horizon,Tennis sur beIN SPORTS 2,, 30min,,https://tv-sports.fr/presentation-de-la-saison-voile-the-ocean-race-2022-tv-x882186?xea=63b52d53a6083
141,Naples,Programmes  4 janvier    ,Inter Milan / Naples,Foot • Serie A sur beIN SPORTS 1,Jeudi 26/01 • 02h30, 45min,Rediffusion,https://tv-sports.fr/evo-dragon-ball-fighter-tv-x880600?xea=63b52d53a6355
142,Arouca,Programmes  4 janvier    ,FC Porto / Arouca,Foot • Liga NOS championnat Portugal sur RMC Sport 1,Aujourd'hui • 08h00, 15min,Rediffusion,https://tv-sports.fr/ticket-gagnant-tv-x788943?xea=63b52d53a6c75
143,beIN SPORTS MAX 4,Programmes  4 janvier    ,"beIN SPORTS, le plus grand des spectacles",Multisports sur beIN SPORTS MAX 4,, 45min,,https://tv-sports.fr/ha-il-ha-il-573-km-rallye-rallye-dakar-2023-tv-x884664?xea=63b52d53a6b20
144,Canal+ Sport 360,Programmes  4 janvier    ,Moto : les Grands Prix 2022,Motocyclisme sur Canal+ Sport 360,Aujourd'hui • 06h00, 6h,Rediffusion,https://tv-sports.fr/match-a-venir-tv-x740065?xea=63b52d53a67c0
145,L'Equipe,Programmes  4 janvier    ,L'Equipe du soir,Multisports sur L'Equipe,,,,https://tv-sports.fr/ulster-la-rochelle-rugby-champions-cup-2022-2023-tv-x881349?xea=63b52d53a810e
146,Eurosport 1,Programmes  4 janvier    ,Ski de fond Epreuve d'Oberstdorf 2022/2023,Ski de fond • Epreuve d'Oberstdorf 2022/2023 sur Eurosport 1,,,,https://tv-sports.fr/perpignan-la-rochelle-rugby-top-14-2022-2023-tv-x884058?xea=63b52d53a8c9c
147,Canal + Top 14,Programmes  4 janvier    ,La chaîne du Top 14,Rugby sur Canal + Top 14,Aujourd'hui • 21h20, 5min,Rediffusion,https://tv-sports.fr/3-minutes-quinte-plus-tv-x884111?xea=63b52d53a8e14
148,Canal + Multisports 1,Programmes  4 janvier    ,Match à venir,Multisports sur Canal + Multisports 1,Jeudi 26/01 • 02h30, 45min,Rediffusion,https://tv-sports.fr/evo-dragon-ball-fighter-tv-x880600?xea=63b52d53a9089
149,Sport en France,Programmes  4 janvier    ,Handball Championnat de France féminin 2022,Handball • Starligue sur Sport en France,Aujourd'hui • 06h00, 6h,Rediffusion,https://tv-sports.fr/match-a-venir-tv-x740065?xea=63b52d53a8f48
150,Tottenham,Programmes  4 janvier    ,Crystal Palace / Tottenham,Foot • Premier League sur Canal + Premier League,Lundi 23/01 • 05h30, 30min,Rediffusion,https://tv-sports.fr/bleu-horizon-tv-x873686?xea=63b52d53a9f7a
151,Nottingham Forest,Programmes  4 janvier    ,Southampton / Nottingham Forest,Foot • Premier League sur Canal+ Foot,,,,https://tv-sports.fr/inter-milan-naples-football-serie-a-2022-2023-tv-x884691?xea=63b52d53a9cfa
152,beIN SPORTS 2,Programmes  4 janvier    ,UCL Magazine Show,Football sur beIN SPORTS 2,,,,https://tv-sports.fr/fc-porto-arouca-football-championnat-du-portugal-2022-2023-tv-x883440?xea=63b52d53aa160
153,Equidia,Programmes  4 janvier    ,Ticket Gagnant,Hippisme sur Equidia,Aujourd'hui • 04h45, 10min,Rediffusion,https://tv-sports.fr/bein-sports-le-plus-grand-des-spectacles-tv-x855533?xea=63b52d53a9a36
154,Eurosport 2,Programmes  4 janvier    ,Présentation de la saison,Voile • The Ocean Race 2022 sur Eurosport 2,, 52min,,https://tv-sports.fr/moto-les-grands-prix-2022-tv-x884708?xea=63b52d53aa679
155,Eurosport 1,Programmes  4 janvier    ,Ski Epreuve de Garmisch-Partenkirchen 2022/2023,Ski • Epreuve de Garmisch-Partenkirchen… sur Eurosport 1,Aujourd'hui • 06h59, 1h08min,Rediffusion,https://tv-sports.fr/l-equipe-du-soir-tv-x224268
156,RMC Sport 2,Programmes  4 janvier    ,MMA : Rétro UFC 2022,Sports de combat sur RMC Sport 2,, 45min,,https://tv-sports.fr/ski-de-fond-epreuve-d-oberstdorf-2022-2023-tv-x884503?xea=63b52d53aac8c
157,Canal+ Sport 360,Programmes  4 janvier    ,Moto : les Grands Prix 2022,Motocyclisme sur Canal+ Sport 360,Aujourd'hui • 06h00, 5h,Rediffusion,https://tv-sports.fr/la-chaine-du-top-14-tv-x740078?xea=63b52d53aaa35
158,Canal+ Sport,Programmes  4 janvier    ,Formule 1 Grand Prix d'Abu Dhabi 2022,Formule 1 • Grand Prix d'Abu Dhabi sur Canal+ Sport,Aujourd'hui • 06h00, 6h,Rediffusion,https://tv-sports.fr/match-a-venir-tv-x740065?xea=63b52d53aab5d
159,L'Equipe,Programmes  4 janvier    ,L'Equipe du soir,Multisports sur L'Equipe,, 2h01min,,https://tv-sports.fr/handball-championnat-de-france-feminin-2022-tv-x831907?xea=63b52d53aaee8
160,Indiana Pacers,Programmes  5 janvier,Philadelphia 76ers / Indiana Pacers ✨,Basket • NBA sur beIN SPORTS MAX 4,,,,https://tv-sports.fr/crystal-palace-tottenham-football-premier-league-2022-2023-tv-x884784?xea=63b52d53ab17c
161,beIN SPORTS 2,Programmes  5 janvier,Tennis Tournoi WTA d'Adélaïde 1 2023,Tennis • Tournoi WTA d'Adélaïde sur beIN SPORTS 2,,,,https://tv-sports.fr/southampton-nottingham-forest-football-premier-league-2022-2023-tv-x884614?xea=63b52d53ab444
162,Milwaukee Bucks,Programmes  5 janvier,Toronto Raptors / Milwaukee Bucks ✨,Basket • NBA sur beIN SPORTS 1,, 45min,,https://tv-sports.fr/ucl-magazine-show-tv-x783396?xea=63b52d53ab57e
163,Detroit Pistons,Programmes  5 janvier,Golden State Warriors / Detroit Pistons ✨,Basket • NBA sur beIN SPORTS MAX 4,Aujourd'hui • 08h00, 15min,Rediffusion,https://tv-sports.fr/ticket-gagnant-tv-x788943?xea=63b52d53aba3f
164,beIN SPORTS 1,Programmes  5 janvier,NBA Extra,Basket-ball sur beIN SPORTS 1,, 30min,,https://tv-sports.fr/presentation-de-la-saison-voile-the-ocean-race-2022-tv-x882186?xea=63b52d53abb7a
165,L'Equipe,Programmes  5 janvier,Biathlon : avant-course,Biathlon sur L'Equipe,, 1h,,https://tv-sports.fr/ski-epreuve-de-garmisch-partenkirchen-2022-2023-tv-x884699?xea=63b52d53ab6b0
166,Eurosport 2,Programmes  5 janvier,Biathlon Epreuve de Pokljuka 2022/2023,Biathlon • Pokljuka sur Eurosport 2,Mardi 24/01 • 03h30, 3h,Rediffusion,https://tv-sports.fr/mma-retro-ufc-2022-tv-x884508?xea=63b52d53ab912
167,L'Equipe,Programmes  5 janvier,Biathlon : après-course,Biathlon sur L'Equipe,, 49min,,https://tv-sports.fr/moto-les-grands-prix-2022-tv-x884709?xea=63b52d53ac069
168,Eurosport 1,Programmes  5 janvier,Saut à ski Tournée des 4 Tremplins 2022/2023,Saut à ski • Tournée des 4 Tremplins 2022/2023 sur Eurosport 1,, 1h32min,,https://tv-sports.fr/formule-1-grand-prix-d-abu-dhabi-2022-tv-x875255?xea=63b52d53ac326
169,Istanbulspor,Programmes  5 janvier,Adana Demirspor / Istanbulspor ✨,Foot • Süper Lig de Turquie sur beIN SPORTS MAX 4,Aujourd'hui • 06h59, 1h08min,Rediffusion,https://tv-sports.fr/l-equipe-du-soir-tv-x224268?xea=63b52d53ac4ae
170,Giresunspor,Programmes  5 janvier,Trabzonspor / Giresunspor ✨,Foot • Süper Lig de Turquie sur beIN SPORTS MAX 5,,,,https://tv-sports.fr/philadelphia-76ers-indiana-pacers-basket-ball-nba-2022-2023-tv-x884795
171,Eurosport 2,Programmes  5 janvier,Cyclisme sur piste Championnats de France 2023,Cyclisme sur piste • Championnats de France sur Eurosport 2,,,,https://tv-sports.fr/toronto-raptors-milwaukee-bucks-basket-ball-nba-2022-2023-tv-x884692
172,Sporting Braga,Programmes  5 janvier,Santa Clara / Sporting Braga ✨,Foot • Liga NOS championnat Portugal sur RMC Sport 1,,,,https://tv-sports.fr/golden-state-warriors-detroit-pistons-basket-ball-nba-2022-2023-tv-x884796
173,Canal+,Programmes  5 janvier,The Match,Football sur Canal+,Aujourd'hui • 13h00, 58min,EN DIRECT,https://tv-sports.fr/biathlon-avant-course-tv-x873893
174,Canal+ Sport,Programmes  5 janvier,Avant-match Pro D2,Rugby sur Canal+ Sport,, 1h30min,,https://tv-sports.fr/biathlon-epreuve-de-pokljuka-2022-2023-tv-x885455
175,Monaco,Programmes  5 janvier,Partizan Belgrade / Monaco ✨,Basket • Euroligue sur L'Equipe,Aujourd'hui • 15h50, 52min,EN DIRECT,https://tv-sports.fr/biathlon-apres-course-tv-x873898
176,Manchester City,Programmes  5 janvier,Chelsea / Manchester City 🌟,Foot • Premier League sur Canal+,, 1h25min,,https://tv-sports.fr/saut-a-ski-tournee-des-4-tremplins-2022-2023-tv-x884885
177,Montauban,Programmes  5 janvier,Biarritz / Montauban ✨,Rugby • Pro D2 sur Canal+ Sport,,,,https://tv-sports.fr/adana-demirspor-istanbulspor-football-super-lig-2022-2023-tv-x884988
178,Canal+ Sport,Programmes  6 janvier,Golf Tournoi des champions 2022/2023,Golf • Tournoi des champions sur Canal+ Sport,,,,https://tv-sports.fr/trabzonspor-gi-resunspor-football-super-lig-2022-2023-tv-x884990
179,beIN SPORTS MAX 5,Programmes  6 janvier,Tennis Tournoi WTA d'Auckland 2023,Tennis • Tournoi WTA d'Auckland sur beIN SPORTS MAX 5,, 2h20min,,https://tv-sports.fr/cyclisme-sur-piste-championnats-de-france-2023-tv-x884886
180,Boston Celtics,Programmes  6 janvier,Dallas Mavericks / Boston Celtics ✨,Basket • NBA sur beIN SPORTS 1,,,,https://tv-sports.fr/santa-clara-sporting-braga-football-championnat-du-portugal-2022-2023-tv-x884887
181,Utah Jazz,Programmes  6 janvier,Houston Rockets / Utah Jazz ✨,Basket • NBA sur beIN SPORTS MAX 4,, 25min,,https://tv-sports.fr/the-match-tv-x884814
182,Eurosport 1,Programmes  6 janvier,Sprint classique dames et messieurs,Ski de fond • Coupe du monde de ski de fond sur Eurosport 1,, 10min,,https://tv-sports.fr/avant-match-pro-d2-tv-x884901
183,Eurosport 2,Programmes  6 janvier,Combiné nordique Epreuve d'Otepää 2022/2023,Combiné nordique • Epreuve d'Otepää 2022/2023 sur Eurosport 2,,,,https://tv-sports.fr/partizan-belgrade-monaco-basket-ball-euroligue-masculine-2022-2023-tv-x884487
184,beIN SPORTS 1,Programmes  6 janvier,Avant-match : Coupe de France,Football sur beIN SPORTS 1,,,,https://tv-sports.fr/chelsea-manchester-city-football-premier-league-2022-2023-tv-x884980
185,Montpellier,Programmes  6 janvier,Pau / Montpellier ✨,Foot • Coupe de France sur beIN SPORTS MAX 4,,,,https://tv-sports.fr/biarritz-montauban-rugby-pro-d2-2022-2023-tv-x884902
186,Nîmes,Programmes  6 janvier,Grenoble / Nîmes ✨,Foot • Coupe de France sur beIN SPORTS MAX 5,, 2h,,https://tv-sports.fr/golf-tournoi-des-champions-2022-2023-tv-x884904
187,Valenciennes,Programmes  6 janvier,Paris FC / Valenciennes ✨,Foot • Coupe de France sur beIN SPORTS MAX 6,, 6h,,https://tv-sports.fr/tennis-tournoi-wta-d-auckland-2023-tv-x884696
188,Angers,Programmes  6 janvier,Strasbourg / Angers 🌟,Foot • Coupe de France sur beIN SPORTS 2,,,,https://tv-sports.fr/dallas-mavericks-boston-celtics-basket-ball-nba-2022-2023-tv-x884881
189,beIN SPORTS 1,Programmes  6 janvier,Multiplex,Foot • Coupe de France sur beIN SPORTS 1,,,,https://tv-sports.fr/houston-rockets-utah-jazz-basket-ball-nba-2022-2023-tv-x884989
190,Celta Vigo,Programmes  6 janvier,Elche / Celta Vigo ✨,Foot • La Liga sur beIN SPORTS MAX 7,, 1h55min,,https://tv-sports.fr/sprint-classique-dames-et-messieurs-ski-de-fond-coupe-du-monde-a-val-di-fiemme-2022-2023-tv-x885082
191,Canal+ Sport,Programmes  6 janvier,Jour de rugby Pro D2 avant-match,Rugby sur Canal+ Sport,, 1h10min,,https://tv-sports.fr/combine-nordique-epreuve-d-otepaa-2022-2023-tv-x885302
192,Rouen,Programmes  6 janvier,Agen / Rouen ✨,Rugby • Pro D2 sur Canal+ Sport,Aujourd'hui • 20h30, 30min,EN DIRECT,https://tv-sports.fr/avant-match-coupe-de-france-tv-x885071
193,Vannes,Programmes  6 janvier,Massy / Vannes ✨,Rugby • Pro D2 sur Canal + Multisports 2,,,,https://tv-sports.fr/pau-fc-montpellier-football-coupe-de-france-2022-2023-tv-x885183
194,Nevers,Programmes  6 janvier,Soyaux-Angoulême / Nevers ✨,Rugby • Pro D2 sur Canal + Multisports 3,,,,https://tv-sports.fr/grenoble-nimes-football-coupe-de-france-2022-2023-tv-x885186
195,Béziers,Programmes  6 janvier,Oyonnax / Béziers ✨,Rugby • Pro D2 sur Canal + Multisports 1,,,,https://tv-sports.fr/paris-fc-valenciennes-football-coupe-de-france-2022-2023-tv-x885188
196,Mont-de-Marsan,Programmes  6 janvier,Aurillac / Mont-de-Marsan ✨,Rugby • Pro D2 sur Canal + Multisports 4,,,,https://tv-sports.fr/strasbourg-angers-football-coupe-de-france-2022-2023-tv-x885076
197,beIN SPORTS 3,Programmes  6 janvier,Volley-ball : Avant-match,Volley-ball sur beIN SPORTS 3,Samedi 21/01 • 18h00, 2h,EN DIRECT,https://tv-sports.fr/multiplex-football-coupe-de-france-2022-2023-tv-x885072
198,beIN SPORTS 1,Programmes  6 janvier,Après-match : Coupe de France,Football sur beIN SPORTS 1,,,,https://tv-sports.fr/elche-celta-vigo-football-liga-2022-2023-tv-x885192
199,Tours,Programmes  6 janvier,Chaumont / Tours ✨,Volley-ball • Ligue A sur beIN SPORTS 3,, 15min,,https://tv-sports.fr/jour-de-rugby-pro-d2-avant-match-tv-x885103
200,Portimonense,Programmes  6 janvier,Benfica Lisbonne / Portimonense ✨,Foot • Liga NOS championnat Portugal sur RMC Sport 1,,,,https://tv-sports.fr/agen-rouen-rugby-pro-d2-2022-2023-tv-x885104
201,Mulhouse,Programmes  6 janvier,Chamonix / Mulhouse,Hockey sur glace • Ligue Magnus sur Sport en France,,,,https://tv-sports.fr/massy-vannes-rugby-pro-d2-2022-2023-tv-x884993
202,Canal+ Sport,Programmes  6 janvier,Jour de rugby Pro D2 avant-match,Rugby sur Canal+ Sport,,,,https://tv-sports.fr/soyaux-angouleme-nevers-rugby-pro-d2-2022-2023-tv-x884994
203,Cadiz,Programmes  6 janvier,Valence / Cadiz ✨,Foot • La Liga sur beIN SPORTS MAX 7,,,,https://tv-sports.fr/oyonnax-beziers-rugby-pro-d2-2022-2023-tv-x884992
204,Everton,Programmes  6 janvier,Manchester United / Everton 🌟,Foot • FA Cup sur beIN SPORTS 2,,,,https://tv-sports.fr/aurillac-mont-de-marsan-rugby-pro-d2-2022-2023-tv-x884995
205,Grenoble,Programmes  6 janvier,Provence Rugby / Grenoble ✨,Rugby • Pro D2 sur Canal+ Sport,, 15min,,https://tv-sports.fr/volley-ball-avant-match-tv-x860215
206,PSG,Programmes  6 janvier,Châteauroux / PSG 🌟,Foot • Coupe de France sur beIN SPORTS 1,Aujourd'hui • 23h15, 15min,EN DIRECT,https://tv-sports.fr/apres-match-coupe-de-france-tv-x885073
207,Canal+ Sport,Programmes  6 janvier,Jour de rugby Pro D2 débrief,Rugby sur Canal+ Sport,,,,https://tv-sports.fr/chaumont-tours-volley-ball-ligue-a-2022-2023-tv-x885079
208,Cleveland Cavaliers,Programmes  7 janvier,Denver Nuggets / Cleveland Cavaliers,Basket • NBA sur beIN SPORTS MAX 4,,,,https://tv-sports.fr/benfica-lisbonne-portimonense-football-championnat-du-portugal-2022-2023-tv-x885086
209,Miami Heat,Programmes  7 janvier,Phoenix Suns / Miami Heat,Basket • NBA sur beIN SPORTS 1,,,,https://tv-sports.fr/chamonix-mulhouse-hockey-sur-glace-ligue-magnus-2021-2022-tv-x885198
210,Eurosport 2,Programmes  7 janvier,HS 134 dames,Saut à ski • Coupe du monde sur Eurosport 2,, 10min,,https://tv-sports.fr/jour-de-rugby-pro-d2-avant-match-tv-x885105
211,Eurosport 1,Programmes  7 janvier,Chalet Club,Multisports sur Eurosport 1,,,,https://tv-sports.fr/valence-cadix-football-liga-2022-2023-tv-x885193
212,Eurosport 1,Programmes  7 janvier,Ski Epreuve de Kranjska Gora 2022/2023,Ski • Epreuve de Kranjska Gora 2022/2023 sur Eurosport 1,,,,https://tv-sports.fr/manchester-united-everton-fc-football-coupe-d-angleterre-2022-2023-tv-x885075
213,Eurosport 1,Programmes  7 janvier,Ski Epreuve d'Adelboden 2022/2023,Ski • Epreuve d'Adelboden 2022/2023 sur Eurosport 1,,,,https://tv-sports.fr/provence-rugby-grenoble-rugby-pro-d2-2022-2023-tv-x885007
214,Eurosport 2,Programmes  7 janvier,Ski de fond Epreuve de Val di Fiemme 2022/2023,Ski de fond • Epreuve de Val di Fiemme 2022/2023 sur Eurosport 2,,,,https://tv-sports.fr/chateauroux-paris-sg-football-coupe-de-france-2022-2023-tv-x885074
